lr,label_smooth,dropout,val_accuracy
0.0005,0.05,0.1,0.971667
0.0005,0.05,0.2,0.973667
0.0005,0.05,0.3,0.970667
0.0005,0.1,0.1,0.975833
0.0005,0.1,0.2,0.971667
0.0005,0.1,0.3,0.9735
0.0005,0.15,0.1,0.972667
0.0005,0.15,0.2,0.968333
0.0005,0.15,0.3,0.969333
0.001,0.05,0.1,0.9695
0.001,0.05,0.2,0.971667
0.001,0.05,0.3,0.966667
0.001,0.1,0.1,0.971333
0.001,0.1,0.2,0.974667
0.001,0.1,0.3,0.971667
0.001,0.15,0.1,0.967667
0.001,0.15,0.2,0.969
0.001,0.15,0.3,0.966167
0.002,0.05,0.1,0.970167
0.002,0.05,0.2,0.967667
0.002,0.05,0.3,0.969667
0.002,0.1,0.1,0.9705
0.002,0.1,0.2,0.969167
0.002,0.1,0.3,0.967833
0.002,0.15,0.1,0.969333
0.002,0.15,0.2,0.962667
0.002,0.15,0.3,0.963667
