param,value,val_accuracy
learning_rate,0.01,0.9304999709129332
learning_rate,0.001,0.9518333077430724
learning_rate,0.0001,0.9141666889190674
learning_rate,1e-05,0.6951666474342346
dropout_rate,0.1,0.9564999938011168
dropout_rate,0.3,0.9473333358764648
dropout_rate,0.5,0.9551666378974916
weight_decay,0.0001,0.9483333230018616
weight_decay,1e-05,0.9521666765213012
weight_decay,1e-06,0.9508333206176758
label_smoothing,0.0,0.9491666555404664
label_smoothing,0.05,0.9580000042915344
label_smoothing,0.1,0.9581666588783264
scheduler_style,none,0.9514999985694884
scheduler_style,plateau,0.9399999976158142
scheduler_style,cosine,0.9419999718666076
learning_rate,0.1,0.8365
learning_rate,0.01,0.909833
learning_rate,0.001,0.9385
learning_rate,0.0001,0.913
learning_rate,1e-05,0.734333
dropout_rate,0.1,0.949
dropout_rate,0.2,0.9505
dropout_rate,0.3,0.958
dropout_rate,0.5,0.937
dropout_rate,0.5,0.942667
weight_decay,0.1,0.809167
weight_decay,0.01,0.866167
weight_decay,0.001,0.93
weight_decay,0.0001,0.9415
weight_decay,1e-05,0.945333
label_smoothing,0.0,0.927333
label_smoothing,0.05,0.942167
label_smoothing,0.1,0.948667
label_smoothing,0.15,0.943833
label_smoothing,0.2,0.9585
scheduler_style,none,0.943333
scheduler_style,plateau,0.943167
scheduler_style,cosine,0.947833
